Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    2036.042    3214.804
    2036.125    3211.791
    2036.208    3208.826
    2036.292    3205.873
    2036.375    3202.904
    2036.458    3199.895
    2036.542    3196.930
    2036.625    3193.916
    2036.708    3190.952
    2036.792    3187.998
    2036.875    3185.034
    2036.958    3182.020
    2037.042    3179.023
    2037.125    3175.866
    2037.208    3172.761
    2037.292    3169.672
    2037.375    3166.518
    2037.458    3163.410
    2037.542    3160.381
    2037.625    3157.227
    2037.708    3154.119
    2037.792    3151.030
    2037.875    3147.917
    2037.958    3144.768
    2038.042    3141.790
    2038.125    3138.987
    2038.208    3136.113
    2038.292    3133.310
    2038.375    3130.497
    2038.458    3127.572
    2038.542    3124.769
    2038.625    3121.898
    2038.708    3119.091
    2038.792    3116.168
    2038.875    3113.351
    2038.958    3110.491
    2039.042    3107.637
    2039.125    3104.568
    2039.208    3101.542
    2039.292    3098.527
    2039.375    3095.501
    2039.458    3092.432
    2039.542    3089.525
    2039.625    3086.456
    2039.708    3083.430
    2039.792    3080.415
    2039.875    3077.389
    2039.958    3074.320
    2040.042    3071.433
    2040.125    3068.730
    2040.208    3065.861
    2040.292    3063.111
    2040.375    3060.290
    2040.458    3057.479
    2040.542    3054.671
    2040.625    3051.920
    2040.708    3049.099
    2040.792    3046.289
    2040.875    3043.588
    2040.958    3040.717
    2041.042    3037.990
    2041.125    3035.115
    2041.208    3032.291
    2041.292    3029.357
    2041.375    3026.530
    2041.458    3023.658
    2041.542    3020.952
    2041.625    3018.079
    2041.708    3015.252
    2041.792    3012.319
    2041.875    3009.494
    2041.958    3006.619
    2042.042    3003.868
    2042.125    3001.182
    2042.208    2998.447
    2042.292    2995.774
    2042.375    2993.087
    2042.458    2990.292
    2042.542    2987.616
    2042.625    2984.870
    2042.708    2982.195
    2042.792    2979.402
    2042.875    2976.667
    2042.958    2973.980
    2043.042    2971.326
    2043.125    2968.517
    2043.208    2965.763
    2043.292    2962.899
    2043.375    2960.143
    2043.458    2957.336
    2043.542    2954.701
    2043.625    2951.897
    2043.708    2949.141
    2043.792    2946.276
    2043.875    2943.521
    2043.958    2940.714
    2044.042    2938.119
    2044.125    2935.517
    2044.208    2932.960
    2044.292    2930.297
    2044.375    2927.743
    2044.458    2925.138
    2044.542    2922.583
    2044.625    2919.978
    2044.708    2917.424
    2044.792    2914.760
    2044.875    2912.207
    2044.958    2909.601
    2045.042    2907.052
    2045.125    2904.394
    2045.208    2901.784
    2045.292    2899.066
    2045.375    2896.405
    2045.458    2893.796
    2045.542    2891.253
    2045.625    2888.599
    2045.708    2885.985
    2045.792    2883.265
    2045.875    2880.606
    2045.958    2877.999
    2046.042    2875.487
    2046.125    2872.962
    2046.208    2870.485
    2046.292    2867.896
    2046.375    2865.422
    2046.458    2862.894
    2046.542    2860.415
    2046.625    2857.890
    2046.708    2855.414
    2046.792    2852.824
    2046.875    2850.351
    2046.958    2847.822
    2047.042    2845.357
    2047.125    2842.920
    2047.208    2840.532
    2047.292    2838.032
    2047.375    2835.646
    2047.458    2833.206
    2047.542    2830.754
    2047.625    2828.318
    2047.708    2825.929
    2047.792    2823.429
    2047.875    2821.044
    2047.958    2818.604
    2048.042    2816.188
    2048.125    2813.758
    2048.208    2811.373
    2048.292    2808.877
    2048.375    2806.492
    2048.458    2804.061
    2048.542    2801.682
    2048.625    2799.251
    2048.708    2796.867
    2048.792    2794.370
    2048.875    2791.986
    2048.958    2789.555
    2049.042    2787.190
    2049.125    2784.799
    2049.208    2782.452
    2049.292    2779.998
    2049.375    2777.655
    2049.458    2775.260
    2049.542    2772.911
    2049.625    2770.519
    2049.708    2768.173
    2049.792    2765.718
    2049.875    2763.372
    2049.958    2760.980
    2050.042    2758.703
    2050.125    2756.397
    2050.208    2754.201
    2050.292    2751.888
    2050.375    2749.690
    2050.458    2747.385
